"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price USD"
"1","150","4530-BSS138CT-ND","BSS138","N-CHANNEL ENHANCEMENT MODE MOSFE","","150","0","0.08330","12.50"
"2","50","31-AP63300WU-7CT-ND","AP63300WU-7","DCDC CONV HV BUCK TSOT26","","50","0","0.81520","40.76"
"3","50","SW402-ND","B3F-1020","SWITCH TACTILE SPST-NO 0.05A 24V","","50","0","0.34520","17.26"
"4","50","AP2115M-3.3TRG1DICT-ND","AP2115M-3.3TRG1","IC REG LINEAR 3.3V 1A 8SOIC","","50","0","0.30000","15.00"
"5","250","1849-09200-71-BDGB00-ND","09200-71-BDGB00","MINI JUMPER, SHUNT, 2.54MM, W/HA","","250","0","0.02700","6.75"
"6","100","2057-SW-T3-2B-A-A3-S1-ND","SW-T3-2B-A-A3-S1","SUBMINIATURE TOGGLE SWITCH, SOLD","","100","0","0.75640","75.64"
"7","100","YAG2990CT-ND","RC0402FR-07158KL","RES 158K OHM 1% 1/16W 0402","","100","0","0.00730","0.73"
"8","50","TC0203620000G-ND","TC0203620000G","TERM BLK 2POS SIDE ENTRY 5MM PCB","","50","0","0.19060","9.53"
"9","100","311-30.1KLRCT-ND","RC0402FR-0730K1L","RES 30.1K OHM 1% 1/16W 0402","","100","0","0.00730","0.73"
"10","300","RMCF0402JT10K0CT-ND","RMCF0402JT10K0","RES 10K OHM 5% 1/16W 0402","","300","0","0.00450","1.35"
"11","100","RMCF0402JT470RCT-ND","RMCF0402JT470R","RES 470 OHM 5% 1/16W 0402","","100","0","0.00450","0.45"
"12","100","1276-1096-1-ND","CL21A106KOQNNNE","CAP CER 10UF 16V X5R 0805","","100","0","0.03300","3.30"
"13","100","1276-2909-1-ND","CL21A226MOQNNNE","CAP CER 22UF 16V X5R 0805","","100","0","0.10380","10.38"
"14","50","1276-1004-1-ND","CL05F104ZO5NNNC","CAP CER 0.1UF 16V Y5V 0402","","50","0","0.00680","0.34"